stimulus_picture,words,sentences,nodes,edges,unconnected,average_total_degree,parallel_edges,bidirectional_edges,lsc,lcc,L1,L2,L3,sizes_connected_components,cc_size_mean,cc_size_med,cc_size_sd,cc_size_max,connected_components,max_degree_centrality,max_degree_node,max_indegree_centrality,max_outdegree_centrality,max_indegree_centrality_value,max_outdegree_centrality_value,mean_sentence_length,mean_confidence,std_confidence,density,diameter,average_shortest_path,clustering,consecutive_edges
24,124,8,21,17,0,1.619047619047619,1,1,1,11,1,0,0,"[11, 2, 2, 2, 2, 2]",3.5,2.0,3.3541019662496847,11,6,0.55,it,"('it', 0.2)","('it', 0.35000000000000003)",0.2,0.35000000000000003,15.5,0.4680731081273907,0.16543741706860185,0.0761904761904762,3,2.0727272727272728,0.0,7
10,114,6,14,18,2,2.5714285714285716,1,2,1,14,3,0,0,[14],14.0,14.0,0.0,14,1,0.8461538461538463,i,"('i', 0.23076923076923078)","('i', 0.6153846153846154)",0.23076923076923078,0.6153846153846154,19.0,0.3225094097778402,0.18344362029889102,0.18681318681318682,4,2.4065934065934065,0.09863945578231292,8
24,86,6,14,12,3,1.7142857142857142,0,1,1,8,1,0,0,"[8, 4, 2]",4.666666666666667,4.0,2.494438257849294,8,3,0.3076923076923077,it,"('i', 0.15384615384615385)","('it', 0.3076923076923077)",0.15384615384615385,0.3076923076923077,14.333333333333334,0.4643915096087704,0.26895901411705303,0.13186813186813187,4,2.2142857142857144,0.0,2
10,87,8,12,14,3,2.3333333333333335,1,4,2,8,3,1,0,"[8, 2, 2]",4.0,2.0,2.8284271247461903,8,3,0.4545454545454546,it,"('girl', 0.2727272727272727)","('i', 0.2727272727272727)",0.2727272727272727,0.2727272727272727,10.875,0.4363974390001768,0.20549799364453677,0.18181818181818182,4,2.25,0.125,5
24,86,4,14,15,0,2.142857142857143,2,4,2,7,0,2,0,"[7, 5, 2]",4.666666666666667,5.0,2.0548046676563256,7,3,0.46153846153846156,he,"('he', 0.23076923076923078)","('he', 0.23076923076923078)",0.23076923076923078,0.23076923076923078,21.5,0.3795604238725186,0.17897151491915966,0.12087912087912088,3,1.9047619047619047,0.0,6
10,136,6,23,19,6,1.6521739130434783,0,1,1,9,1,0,0,"[9, 5, 5, 2, 2]",4.6,5.0,2.5768197453450252,9,5,0.2727272727272727,girl,"('girl', 0.13636363636363635)","('this', 0.13636363636363635)",0.13636363636363635,0.13636363636363635,22.666666666666668,0.49271343995421407,0.2469425808447357,0.07509881422924901,5,2.5555555555555554,0.0,3
10,158,9,25,21,3,1.68,0,2,1,9,2,0,0,"[9, 6, 4, 2, 2, 2]",4.166666666666667,3.0,2.6087459737497545,9,6,0.20833333333333331,baby,"('mother', 0.125)","('it', 0.125)",0.125,0.125,17.555555555555557,0.619829167927781,0.25290905338600805,0.07,6,2.8333333333333335,0.0,1
13,88,7,15,14,3,1.8666666666666667,0,0,1,11,0,0,0,"[11, 2, 2]",5.0,2.0,4.242640687119285,11,3,0.5714285714285714,i,"('humans', 0.14285714285714285)","('i', 0.5714285714285714)",0.14285714285714285,0.5714285714285714,12.571428571428571,0.3190955208412338,0.11922791174388253,0.13333333333333333,4,2.0545454545454547,0.30952380952380953,6
10,109,9,21,27,0,2.5714285714285716,4,3,2,14,1,1,0,"[14, 7]",10.5,10.5,3.5,14,2,0.55,i,"('baby', 0.2)","('i', 0.45)",0.2,0.45,12.11111111111111,0.4423188258715997,0.20965347970053508,0.09523809523809523,4,2.5494505494505493,0.0,14
13,117,11,21,23,2,2.1904761904761907,1,3,2,17,1,2,0,"[17, 2, 2]",7.0,2.0,7.0710678118654755,17,3,0.4,it,"('it', 0.15000000000000002)","('i', 0.25)",0.15000000000000002,0.25,10.636363636363637,0.37358511664894806,0.1686076170098423,0.09523809523809523,5,2.764705882352941,0.0,7
24,113,12,21,21,0,2.0,1,3,2,15,1,1,0,"[15, 2, 2, 2]",5.25,2.0,5.629165124598851,15,4,0.35000000000000003,man,"('man', 0.15000000000000002)","('i', 0.2)",0.15000000000000002,0.2,9.416666666666666,0.4073523024423103,0.22993310164072694,0.09047619047619047,7,3.085714285714286,0.0,6
30,138,12,17,23,4,2.7058823529411766,3,7,3,13,3,3,0,"[13, 2, 2]",5.666666666666667,2.0,5.185449728701348,13,3,0.75,i,"('left', 0.25)","('i', 0.5625)",0.25,0.5625,11.5,0.44443715653435056,0.18070649118613252,0.125,4,2.5128205128205128,0.0,6
10,69,2,14,13,3,1.8571428571428572,0,1,1,6,1,0,0,"[6, 6, 2]",4.666666666666667,6.0,1.8856180831641267,6,3,0.5384615384615385,girl,"('girl', 0.23076923076923078)","('they', 0.38461538461538464)",0.23076923076923078,0.38461538461538464,34.5,0.5895891563528275,0.18922057775657192,0.14285714285714285,2,1.6666666666666667,0.0,7
13,78,4,12,13,0,2.1666666666666665,0,0,1,12,0,0,0,[12],12.0,12.0,0.0,12,1,0.6363636363636364,four men,"('four men', 0.18181818181818182)","('one', 0.4545454545454546)",0.18181818181818182,0.4545454545454546,19.5,0.6636866108611585,0.17412150219877326,0.19696969696969696,4,2.1818181818181817,0.18571428571428572,6
10,39,1,8,7,2,1.75,0,0,1,6,0,0,0,"[6, 2]",4.0,4.0,2.0,6,2,0.42857142857142855,she,"('young', 0.2857142857142857)","('girl', 0.42857142857142855)",0.2857142857142857,0.42857142857142855,39.0,0.4035389302576447,0.14296376233835065,0.25,4,1.8666666666666667,0.0,2
13,31,1,8,6,0,1.5,0,0,1,5,0,0,0,"[5, 3]",4.0,4.0,1.0,5,2,0.42857142857142855,poverty,"('top', 0.2857142857142857)","('poverty', 0.2857142857142857)",0.2857142857142857,0.2857142857142857,31.0,0.5413760176887293,0.23564447047845732,0.21428571428571427,3,1.8,0.0,0
24,39,3,13,11,1,1.6923076923076923,0,0,1,9,0,0,0,"[9, 4]",6.5,6.5,2.5,9,2,0.5,i,"('christian', 0.16666666666666666)","('i', 0.5)",0.16666666666666666,0.5,13.0,0.25692357993488474,0.10476054636826773,0.14102564102564102,4,2.111111111111111,0.0,7
30,30,1,5,4,2,1.6,0,2,2,3,0,1,0,"[3, 2]",2.5,2.5,0.5,3,2,0.75,company,"('man', 0.25)","('company', 0.5)",0.25,0.5,30.0,0.896619342842042,0.00642085426343264,0.3,2,1.3333333333333333,0.0,0
13,165,11,25,23,4,1.84,0,3,1,10,3,0,0,"[10, 7, 4, 2, 2]",5.0,4.0,3.0983866769659336,10,5,0.29166666666666663,it,"('the men', 0.125)","('it', 0.25)",0.125,0.25,15.0,0.37419583488862207,0.13528378770565422,0.07666666666666666,6,2.7111111111111112,0.0,11
10,52,7,13,10,2,1.5384615384615385,0,1,1,5,1,0,0,"[5, 3, 3, 2]",3.25,3.0,1.0897247358851685,5,4,0.3333333333333333,i,"('i', 0.16666666666666666)","('i', 0.16666666666666666)",0.16666666666666666,0.16666666666666666,7.428571428571429,0.48458225883150435,0.17396800058700942,0.1282051282051282,3,1.8,0.0,0
13,67,7,9,7,8,1.5555555555555556,0,1,1,4,1,0,0,"[4, 3, 2]",3.0,3.0,0.816496580927726,4,3,0.625,it,"('it', 0.25)","('it', 0.375)",0.25,0.375,9.571428571428571,0.4517873028386683,0.22252223407595906,0.19444444444444445,2,1.5,0.0,2
24,82,5,12,16,1,2.6666666666666665,1,6,2,12,3,2,0,[12],12.0,12.0,0.0,12,1,0.6363636363636364,person,"('they', 0.36363636363636365)","('person', 0.36363636363636365)",0.36363636363636365,0.36363636363636365,16.4,0.5260849575725505,0.2656925350701241,0.19696969696969696,5,2.757575757575758,0.0,5
